source_id,target_id,edge_type_id,edge_weight
16,88,12,0.7
19,62,12,0.7
19,65,12,0.9
19,102,12,0.9
20,36,12,0.7
20,70,12,0.9
20,78,12,0.9
20,86,12,0.9
20,97,12,0.7
47,78,12,0.9
47,86,12,0.9
47,87,12,0.9
47,89,12,0.9
47,111,12,0.9
55,66,12,0.7
56,70,12,0.9
56,78,12,0.9
56,86,12,0.9
62,65,12,0.9
62,70,12,0.9
62,78,12,0.9
62,116,12,0.9
62,117,12,0.9
65,70,12,0.9
65,78,12,0.9
65,86,12,0.9
65,102,12,0.9
65,116,12,0.9
65,117,12,0.9
70,78,12,0.9
70,86,12,0.9
70,87,12,0.9
70,102,12,0.7
70,116,12,0.9
70,117,12,0.9
74,78,12,0.9
78,86,12,0.9
78,87,12,0.9
78,111,12,0.9
78,116,12,0.9
78,117,12,0.9
84,96,12,0.9
86,111,12,0.9
94,125,12,0.9
102,117,12,0.9
116,117,12,0.9
122,125,12,0.9
2,10,3,0.7
2,14,3,0.9
2,17,3,0.9
2,19,3,0.9
2,20,3,0.9
2,36,3,0.9
2,40,3,0.9
2,56,3,0.7
2,57,3,0.9
2,65,3,0.9
2,66,3,0.9
2,70,3,0.9
2,84,3,0.7
2,96,3,0.7
2,97,3,0.9
2,104,3,0.9
2,116,3,0.9
10,17,3,0.7
10,19,3,0.7
10,56,3,0.7
10,65,3,0.7
10,66,3,0.7
10,70,3,0.7
10,84,3,0.7
10,104,3,0.7
10,116,3,0.7
11,12,3,0.9
11,14,3,0.9
11,17,3,0.9
11,19,3,0.9
11,20,3,0.9
11,36,3,0.9
11,65,3,0.9
11,66,3,0.9
11,70,3,0.9
11,116,3,0.9
11,124,3,0.9
12,14,3,0.9
12,17,3,0.9
12,19,3,0.9
12,20,3,0.9
12,36,3,0.9
12,65,3,0.9
12,66,3,0.9
12,70,3,0.9
14,17,3,0.9
14,19,3,0.9
14,20,3,0.9
14,25,3,0.9
14,36,3,0.9
14,40,3,0.9
14,42,3,0.9
14,46,3,0.9
14,51,3,0.9
14,56,3,0.9
14,57,3,0.9
14,65,3,0.9
14,66,3,0.9
14,70,3,0.9
14,74,3,0.9
14,80,3,0.9
14,90,3,0.9
14,96,3,0.7
14,97,3,0.9
14,98,3,0.9
14,104,3,0.9
14,116,3,0.9
14,124,3,0.9
17,19,3,0.9
17,20,3,0.9
17,25,3,0.9
17,30,3,0.9
17,36,3,0.9
17,40,3,0.9
17,42,3,0.9
17,46,3,0.9
17,51,3,0.9
17,56,3,0.9
17,57,3,0.9
17,58,3,0.9
17,62,3,0.9
17,65,3,0.9
17,66,3,0.9
17,70,3,0.9
17,74,3,0.9
17,78,3,0.9
17,80,3,0.9
17,84,3,0.9
17,86,3,0.9
17,90,3,0.9
17,96,3,0.7
17,97,3,0.9
17,98,3,0.9
17,104,3,0.9
17,116,3,0.9
17,124,3,0.9
17,125,3,0.9
19,20,3,0.9
19,25,3,0.9
19,30,3,0.9
19,36,3,0.9
19,40,3,0.9
19,42,3,0.9
19,46,3,0.9
19,51,3,0.9
19,56,3,0.9
19,57,3,0.9
19,58,3,0.9
19,62,3,0.9
19,65,3,0.9
19,66,3,0.9
19,70,3,0.9
19,74,3,0.9
19,78,3,0.9
19,80,3,0.9
19,84,3,0.9
19,86,3,0.9
19,90,3,0.9
19,96,3,0.7
19,97,3,0.9
19,98,3,0.9
19,102,3,0.9
19,104,3,0.9
19,116,3,0.9
19,124,3,0.9
19,125,3,0.9
20,25,3,0.9
20,30,3,0.9
20,36,3,0.9
20,40,3,0.9
20,56,3,0.9
20,57,3,0.9
20,58,3,0.9
20,62,3,0.9
20,65,3,0.9
20,66,3,0.9
20,70,3,0.9
20,74,3,0.9
20,78,3,0.9
20,80,3,0.9
20,84,3,0.9
20,86,3,0.9
20,90,3,0.9
20,96,3,0.7
20,97,3,0.9
20,102,3,0.9
20,104,3,0.9
20,116,3,0.9
20,124,3,0.9
20,125,3,0.9
25,36,3,0.9
25,66,3,0.9
25,70,3,0.9
25,97,3,0.9
25,104,3,0.9
25,116,3,0.9
30,36,3,0.9
30,58,3,0.9
30,62,3,0.9
30,66,3,0.9
30,70,3,0.9
30,78,3,0.9
30,84,3,0.9
30,86,3,0.9
30,104,3,0.9
30,116,3,0.9
30,125,3,0.9
36,40,3,0.9
36,56,3,0.9
36,57,3,0.9
36,58,3,0.9
36,62,3,0.9
36,65,3,0.9
36,66,3,0.9
36,70,3,0.9
36,78,3,0.9
36,84,3,0.9
36,86,3,0.9
36,90,3,0.9
36,97,3,0.9
36,104,3,0.9
36,116,3,0.9
36,124,3,0.9
36,125,3,0.9
40,42,3,0.9
40,57,3,0.9
40,65,3,0.9
40,66,3,0.9
40,70,3,0.9
40,90,3,0.9
40,97,3,0.9
40,104,3,0.9
40,116,3,0.9
42,57,3,0.9
42,65,3,0.9
42,66,3,0.9
42,70,3,0.9
42,90,3,0.9
42,98,3,0.9
42,116,3,0.9
46,57,3,0.9
46,66,3,0.9
46,90,3,0.9
51,57,3,0.9
51,65,3,0.9
51,66,3,0.9
51,70,3,0.9
51,90,3,0.9
51,104,3,0.9
56,57,3,0.9
56,65,3,0.9
56,66,3,0.9
56,70,3,0.9
56,74,3,0.9
56,84,3,0.7
56,97,3,0.9
56,104,3,0.9
56,116,3,0.9
56,124,3,0.9
57,65,3,0.9
57,66,3,0.9
57,70,3,0.9
57,74,3,0.9
57,90,3,0.9
57,97,3,0.9
57,98,3,0.9
57,102,3,0.9
57,104,3,0.9
57,116,3,0.9
57,124,3,0.9
58,62,3,0.9
58,66,3,0.9
58,70,3,0.9
58,78,3,0.9
58,84,3,0.9
58,86,3,0.9
58,104,3,0.9
58,116,3,0.9
58,125,3,0.9
62,66,3,0.9
62,70,3,0.9
62,78,3,0.9
62,84,3,0.9
62,86,3,0.9
62,104,3,0.9
62,116,3,0.9
62,125,3,0.9
65,66,3,0.9
65,70,3,0.9
65,74,3,0.9
65,84,3,0.7
65,90,3,0.9
65,96,3,0.7
65,97,3,0.9
65,98,3,0.9
65,102,3,0.9
65,104,3,0.9
65,116,3,0.9
65,124,3,0.9
66,70,3,0.9
66,74,3,0.9
66,78,3,0.9
66,80,3,0.9
66,84,3,0.9
66,86,3,0.9
66,90,3,0.9
66,96,3,0.7
66,97,3,0.9
66,98,3,0.9
66,102,3,0.9
66,104,3,0.9
66,116,3,0.9
66,124,3,0.9
66,125,3,0.9
70,78,3,0.9
70,84,3,0.9
70,86,3,0.9
70,96,3,0.7
70,97,3,0.9
70,98,3,0.9
70,102,3,0.9
70,104,3,0.9
70,116,3,0.9
70,124,3,0.9
70,125,3,0.9
74,104,3,0.9
78,84,3,0.9
78,86,3,0.9
78,104,3,0.9
78,116,3,0.9
78,125,3,0.9
80,90,3,0.9
80,104,3,0.9
80,116,3,0.9
80,124,3,0.9
84,86,3,0.9
84,97,3,0.9
84,104,3,0.9
84,116,3,0.9
84,125,3,0.9
86,104,3,0.9
86,116,3,0.9
86,125,3,0.9
90,104,3,0.9
90,116,3,0.9
90,124,3,0.9
96,97,3,0.7
96,104,3,0.7
96,116,3,0.7
97,102,3,0.9
97,104,3,0.9
97,116,3,0.9
97,124,3,0.9
98,116,3,0.9
102,104,3,0.9
102,116,3,0.9
104,116,3,0.9
104,124,3,0.9
104,125,3,0.9
116,124,3,0.9
116,125,3,0.9
2,9,7,0.9
2,17,7,0.9
2,19,7,0.9
2,62,7,0.9
2,70,7,0.9
2,116,7,0.9
3,5,7,0.9
3,10,7,0.9
3,16,7,0.9
3,32,7,0.9
3,35,7,0.9
3,44,7,0.9
3,88,7,0.9
3,96,7,0.9
3,105,7,0.9
3,111,7,0.9
5,10,7,0.9
5,16,7,0.9
5,32,7,0.9
5,35,7,0.9
5,44,7,0.9
5,88,7,0.9
5,96,7,0.9
5,105,7,0.9
5,111,7,0.9
9,17,7,0.9
9,19,7,0.9
9,62,7,0.9
9,70,7,0.9
9,116,7,0.9
10,16,7,0.9
10,32,7,0.9
10,35,7,0.9
10,44,7,0.9
10,88,7,0.9
10,96,7,0.9
10,105,7,0.9
10,111,7,0.9
15,25,7,0.9
15,26,7,0.9
15,27,7,0.9
15,31,7,0.9
15,43,7,0.9
15,55,7,0.9
15,59,7,0.9
15,66,7,0.9
15,81,7,0.9
15,91,7,0.9
15,94,7,0.9
15,106,7,0.9
15,121,7,0.9
